 Stealth Mango and Tangelo 
Cobalt Kitty
Cobalt Spider
Cobalt gang
Cobalt group
CobaltGoblin
Codoso
Cold River
Comment Crew
Comment Group
Comment Panda
Comnie
Conimes
CopyKittens
CorporacaoXRat
CorporationXRat
Corsair Jackal
Covert Grove
Cozer
Cozy Bear
Cozy Duke
CozyBear
CozyCar
CozyDuke
Crambus
Crescent and Star
Crimson Iron
Crouching Yeti
CrouchingYeti
Cutting Kitten
Cyber Berkut
Cyber Caliphate Army
Cyber fighters of Izz Ad-Din Al Qassam
CyberCaliphate
Cycldek
DD4BC
DNSCalc
DNSpionage
DOPPEL SPIDER
DRAGONFISH
DUBNIUM
DYMALLOY
Dagger Panda
Dancing Salome
Danti
Dark Basin
Dark Caracal
Dark Seoul
DarkHalo
DarkHotel
DarkHydrus
DarkUniverse
DarkVishnya
Darkhotel
Deadeye Jackal
DeathStalker
Deep Panda
Deputy Dog
Desert Falcon
Dextorous Spider
Dizzy Panda
DoNot Team
Dogfish
Domestic Kitten
Donot Team
DragonOK
Dragonfly
Dragonfly 2.0
Dragonfly2
Dropping Elephant
Dukes
Dungeon Spider
Duqu Group
Dust Storm
DustStorm
DynCalc
Dynamite Panda
ELECTRUM
EQGRP
El Machete
Elderwood
Elderwood Gang
Electric Panda
Elfin
Elise
Eloquent Panda
Emdivi
Emissary Panda
Empire Monkey
Energetic Bear
Equation
Equation Group
Esile
EuroAPT
Evil Corp
Evil Eye
EvilPost
EvilTraffic
Evilnum
Extreme Jackal
FASTCash
FIN1
FIN10
FIN11
FIN4
FIN5
FIN6
FIN7
FIN8
FallagaTeam
Fallout Team
Fancy Bear
Flash Kitten
Flowerlady
Flowerlady/Flowershow
Flowershow
Flying Kitten
Foudre
Fox Kitten
Foxy Panda
Fraternal Jackal
FruityArmor
Fxmsp
GADOLINIUM
GALLIUM
GC01
GC02
GCMAN
GIF89a
GOLD CRESTWOOD
GOLD ESSEX
GOLD KINGSWOOD
GOLD LOWELL
GOLD NIAGARA
GOLD SWATHMORE
GOLD TAHOE
GOLD ULRICK
GOP
GRACEFUL SPIDER
GREF
GRIM SPIDER
Gallmaker
Gamaredon Group
Gaza Cybergang
Gaza Hackers Team
Gaza cybergang
Ghambar
Ghost Jackal
GhostNet
Gibberish Panda
Gnosticplayers
Goblin Panda
GoldMouse
Golden Chickens
Golden Chickens 01
Golden Chickens 02
Golden Chickens01
Golden Chickens02
Golden Falcon
Golden RAT
Gorgon Group
Gothic Panda
GozNym
Green Havildar
Greenbug
GreyEnergy
Grizzly Steppe
Groundbait
Group 100
Group 123
Group 13
Group 22
Group 24
Group 26
Group 27
Group 3
Group 35
Group 36
Group 41
Group 42
Group 6
Group 72
Group 74
Group 77
Group 8
Group 83
Group 88
Group-4127
Group123
Group5
Group72
Guardian of Peace
Guru Spider
HAFNIUM
HIPPOTeam
HOGFISH
HOLMIUM
HUAPI
Hacking Team
Hammer Panda
Hammer Toss
Hastati Group
Havex
Helix Kitten
Hellsing
HenBox
Hidden Cobra
Hidden Lynx
Higaisa
Hippo Team
Hive0081 (IBM)
HoneyMyte
Honeybee
HookAds
HummingBad
Hurricane Panda
IAmTheKing
IMPERIAL KITTEN
INDRIK SPIDER
IRIDIUM
IRN2
IRON LIBERTY
IRON LYRIC
IRON TWILIGHT
ITG08
ITSecTeam
IXESHE
Ice Fog
IceFog
Impersonating Panda
Inception Framework
Infy
InvisiMole
Iron Cyber Group
Iron Group
Iron Hemlock
Iron Hunter
Iron Tiger
Iron Tiger APT
Iron Viking
Islamic State Hacking Division
ItaDuke
JUDGMENT PANDA
JerseyMikes
KRYPTON
Karba
Karma Panda
Ke3Chang
Ke3chang
KeyBoy
Keyhole Panda
Kimsuky
Koala Team
Kryptonite Panda
KungFu Kittens
LEAD
LOTUS PANDA
LYCEUM
Labyrinth Chollima
LadyBoyle
Lamberts
Lazarus Group
LazyMeerkat
LeafMiner
Leafminer
Lebanese Cedar
Leviathan
Libyan Scorpions
Lion Soldiers Team
Longhorn
Lotus Blossom
Lotus Panda
Lucky Cat
Lucky Mouse
LuckyMouse
Luder
Lunar Spider
Lurid
MAGNALLIUM
MAGNESIUM
MAKERSMARK
MANGANESE
MERCURY
MONTY SPIDER
MSUpdater
MUMMY SPIDER
Mabna Institute
Machete
Madi
MageCart
Magic Hound
Magic Kitten
Magnetic Spider
Malware reusers
Mana Team
Mask
Maverick Panda
MenuPass
Menupass Team
Metushy
Microcin
Minidionis
Mirage
Moafee
Mofang
Molerats
MoneyTaker
Monsoon
Moonlight
Morpho
MuddyWater
Mummy Spider
Mustang Panda
Mythic Leopard
NARWHAL SPIDER
NEODYMIUM
NICKEL GLADSTONE
NOBELIUM
NOCTURNAL SPIDER
NOTROBIN
Nahr Elbard
Nahr el bared
Naikon
Nazar
Nemim
Nemin
NetTraveler
NewRomanic Cyber Army Team
NewsBeef
Newsbeef
Newscaster
Newscaster Team
Nexus Zeta
Nickel Academy
Night Dragon
Nightshade Panda
Nitro
Nomad Panda
NuclearCrisis
Numbered Panda
Ocean Buffalo
Ocean Lotus
OceanLotus
OceanLotus Group
Office Monkeys
OfficeMonkeys
OilRig
OnionDog
Operation AppleJeus
Operation BugDrop
Operation C-Major
Operation Cleaver
Operation Comando
Operation DarkSeoul
Operation Daybreak
Operation Erebus
Operation EvilTraffic
Operation GhostSecret
Operation Iron Tiger
Operation Kabar Cobra
Operation Mermaid
Operation Molerats
Operation Parliament
Operation Poison Needles
Operation Shadow Force
Operation ShadowHammer
Operation Sharpshooter
Operation Skeleton Key
Operation Soft Cell
Operation Stolen Pencil
Operation Troy
Operation WizardOpium
Operation Wocao
Operation Woolen Goldfish
Operation Woolen-Goldfish
OperationHangover
OperationTroy
Orangeworm
OurMine
Override Panda
PARISITE
PIONEER KITTEN
PLA Navy
PLA Unit 61398
PLA Unit 61486
PLA Unit 78020
PLATINUM
PLATINUM TERMINAL
POISON CARP
POND LOACH
POTASSIUM
PROMETHIUM
Pacha Group
Pacifier APT
Packrat
Pale Panda
Palmetto Fusion
Parastoo
PassCV
Patchwork
Pawn Storm
PawnStorm
Pfinet
Phantom Turk
Pinchy Spider
PinkPanther
Pioneer
Pirate Panda
Pitty Panda
PittyTiger
Pizzo Spider
Playful Dragon
Poisonous Panda
Popeye
Poseidon Group
PowerPool
Predator Panda
Primitive Bear
Prince of Persia
Project Sauron
ProjectM
ProjectSauron
Putter Panda
QAZTeam
Quedagh
Quilted Tiger
RANCOR
RASPITE
RAZOR TIGER
REMIX KITTEN
RTM
Radio Panda
Rancor
Rancor Group
Rancor group
Raspite
Ratpak Spider
Rattlesnake
Reaper
Reaper Group
Rebel Jackal
Red Apollo
Red Eyes
Red Kelpie
Red Lich
Red October
RedAlpha
RedBaldKnight
Refined Kitten
Reuse team
Ricochet Chollima
Roaming Mantis
Roaming Mantis Group
Roaming Tiger
Rocke
Rocket Kitten
Rocket_Kitten
Rotten Tomato
Royal APT
SABER LION
SCANDIUM
SCULLY SPIDER
SEA
SIG22
SIG23
SIG25
SIG27
SIG37
SIG40
SMOKY SPIDER
SNAKEMACKEREL
SNOWGLOBE
ST Group
STARDUST CHOLLIMA
STRONTIUM
SULPHUR
SVCMONDR
SWEED
Sabre Panda
Saffron Rose
SaffronRose
Salty Spider
Samurai Panda
SandCat
Sands Casino
Sandworm
Sandworm Team
Sapphire Mushroom
Sarit
Sath-ı Müdafaa
Sauron
Sayad
ScarCruft
Scarlet Mimic
Sea Lotus
Sea Turtle
SeaDuke
SeaLotus
SearchFire
SectorD01 (NHSC)
SectorJ04
SectorJ04 Group
Sednit
Seedworm
Sh3llCr3w
Shadow Brokers
Shadow Crane
Shadow Network
ShadowBrokers
ShadyRAT
Shanghai Group
Shark Spider
Shell Crew
Shrouded Crossbow
SideWinder
Siesta
Silence
Silence APT group
Silence group
Silent Chollima
Silent Librarian
SilverTerrier
Sima
Singing Spider
SixLittleMonkeys
Skeleton Spider
Skipper Turla
Slayer Kitten
Slingshot
Snake
Snake Wine
Sneaky Panda
Snooping Dragon
Snowglobe
Social Network Team
Sofacy
Soft Cell
Sowbug
Sphinx Moth
Spicy Panda
Spring Dragon
Stalker Panda
Stardust Chollima
Static Kitten
Stealth Falcon
StellarParticle
Stolen Pencil
Stone Panda
Strider
StrongPity
Subaat
Subgroup: Andariel
Subgroup: Bluenoroff
Suckfly
Sunshop Group
Superman
Swallowtail
Sykipot
SyrianElectronicArmy
T-APT-02
T-APT-04
TA2101
TA407
TA410
TA413
TA428
TA459
TA505
TA530
TA542
TAG_0530
TAG_0700
TEMP.Avengers
TEMP.Beanie
TEMP.Hermit
TEMP.Hippo
TEMP.Jumper
TEMP.MixMaster
TEMP.Noble
TEMP.Periscope
TEMP.Veles
TEMP.Warlock
TEMP.Zagros
TEMP.Zhenbao
TERBIUM
TG-0110
TG-0416
TG-2754
TG-2884 (SCWX CTU)
TG-2889
TG-3390
TG-4127
TG-6952
TG-8223
TH3Bug
TIN WOODLAWN
TMP.Lapis
TRACER KITTEN
TSB
TUNGSTEN BRIDGE
Taidoor
Tailgater Team
Tapaoux
Tarh Andishan
Team Bear
Team338
TeamSpy
TeamSpy Crew
TeamTNT
TeamXRat
TeleBots
Temp.Overboard
TempTick
Temper Panda
Test Panda
Thallium
Thamar Reservoir
The Big Bang
The Dukes
The Gorgon Group
The Mask
The Shadow Brokers
The ShadowBrokers
The White Company
Threat Group 2889
Threat Group 3390
Threat Group-1314
Threat Group-3390
Thrip
Tick
Tilded Team
Timberworm
Tiny Spider
Tonto Team
Topgear
Tortoiseshell
Toxic Panda
Transparent Tribe
TravNet
Trident
Tropic Trooper
TropicTrooper
Tsar Team
TsarTeam
TunisianCyberArmy
Turbine Panda
Turk Hack Team
TurkHackTeam
Turla
Turla Group
Turla Team
Twisted Kitten
Twivy
TwoForOne
UNC1878
UNC2452
UNC757
UPS
UPS Team
UUC
Ugly Face
Union Panda
Union Spider
Unit 121
Unit 8200
United Cyber Caliphate
Unnamed Actor
Uroburos
VENOM SPIDER
VENOMOUS Bear
VOYEUR
Velvet Chollima
Venomous Bear
Venus 121
ViceLeaker
Viceroy Tiger
Viking Jackal
Vikingdom
Violin Panda
Vixen Panda
Volatile Cedar
Voodoo Bear
WHISPER SPIDER
WHOis Team
WICKED PANDA
WICKED SPIDER
WIRTE
WIZARD SPIDER
WRAITH
Waterbug
WebMasters
Wekby
Wet Panda
White Bear
Whitefly
Whois Hacking Team
WildNeutron
WindShift
Winnti Group
Winnti Umbrella
Wisp Team
Wolf Spider
XDSpy
XENOTIME
Xenotime
YTTRIUM
ZINC EMERSON
ZIRCONIUM
Zhenbao
Zinc
ZipToken
Zombie Spider
ZooPark
[Unnamed group]
[Vault 7/8]
admin@338
apt_sofacy
badbullzvenom
happyyongzi
iKittens
luoxk
machete-apt
menuPass
menuPass Team
temp.bottle
the Lamberts
the Rocra
xHunt campaign (Palo Alto)
