ADVSTORESHELL
FE_APT_Downloader_Win_SLOWDRIFT_1
FE_APT_Downloader_Win_SLOWDRIFT_2
FE_APT_Exploit_HWP_Happy
FE_APT_HackTool_Win32_SOUNDWAVE_1
FE_APT_InfoStealer_Win_CORALDECK_1
FE_APT_RAT_DOGCALL
FE_APT_Trojan_Win32_RUHAPPY_1
FE_APT_Trojan_Zumkong
FE_Trojan_Win32_MILKDROP_1
FINSPY
FTP
FUZZBUNCH
FacexWorm
Fadok
Fakem RAT
Fanny
Fareit
Fexel
Fgdump
FireMalv
Fireball
Flame
FlexSpy
Floki
Floki Bot
Flokibot
Fobushell
Foozer
Forfiles
FormBook
FruitFly
Frutas
Fysbis
GAMEFISH
GDOCUPLOAD
GELCAPSULE
GETMAIL
GHOLE
GHOTEX
GLOOXMAIL
GM-Bot
GOGGLES
GREENCAT
Gafgyt
Gamarue
Gamut Botnet
Gelup malware tool
GeminiDuke
Gen:Trojan.Heur.PT
Generic30.ASYL (Trojan horse)
Geodo
Gh0st Rat
Gh0stRat, GhostRat
GhostAdmin
GhostMiner
GoScanSSH
GootKit
Gootkit
Graftor
GratefulPOS
GrayFish
HACKFASE
HALFBAKED
HAPPYWORK
HAYMAKER
HDRoot
HELAUTO
HIGHNOON
HSDFSDCrypt
HTRAN
HTTPBrowser
HTran
HUC Packet Transmit Tool
HUC Packet Transmitter
Hackshit
Hancitor
Havex
Havex RAT
Havij
Helminth backdoor
HerHer Trojan
Heseber BOT
Hi-ZOR
Hikit
Hoarde
Hoardy
Houdini
Htran
Huigezi malware
Hunter
Hupigon
Hworm
Hydraq
Hyena
HyperBro
IEChecker
IISTOUCH
IRONGATE
Imminent Monitor
Impacket
Incognito RAT
IntrudingDivisor
InvisiMole
Invoke
Invoke-PSImage
IoT_reaper
Iron Backdoor
IsErIk
IsSpace
JHUHUGIT
JS Flash
JS_POWMET
JSocket
Janicab
JasperLoader
JavaScript variant of HALFBAKED
JexBoss
Jiripbot
Joao
Jolob
Jorik
Jripbot
KARAE
KEYMARBLE
KHRAT
KONNI
KURTON
Karkoff
Kazuar
KeyBoy
KillDisk
KillDisk Wiper
KillProc.14145
KimJongRAT
KingMiner
KjW0rm
Koadic
Korplug
Kwampirs
LATENTBOT
LIGHTBOLT
LIGHTDART
LONGRUN
LURK
LaZagne
LamePyre
Lampion
Lazagne
Laziok
Lecna
Linux/Mirai
LiquorBot
LoJax
LockPoS
Loki Bot
Loneagent
Lost Door RAT
LostDoor RAT
Lslsass
LuminosityLink
MANITSME
MAPIGET
MCMD
MCRAT.A
METALJACK
MFC Huner
MILKDROP
MINIASP
MM Core
MM Core backdoor
MSUpdater
MacDownloader
Mad Max
MagentoCore Malware
Maikspy
MailSniper
Mal/Behav-112
ManageX
Masuta
Matryoshka
Mdmbot.E
Mikatz
MimiPenguin
Mimikatz
Mirai
MoneyTaker 5.0
Moneygram Adwind
Mongall
MoonWind
Morcut
Moudoor
Mughthesec
NAMEDPIPETOUCH
NBTScan
NBot
NETUI
NEWSREELS
NLBrute
NOKKI
Naid
NanHaiShu
Nancrat
NanoCore
NanoCoreRAT
Nautilus
NeD Worm
Necurs
Net
NetTraveler
Netcat
Neteagle
Netfile
Netscan
Neuron
NewCT
Newsripper
Nflog
Nltest
Not Petya
NotPetya
Nymaim
ODDJOB
OLDBAIT
OSX.BadWord
OSX.LamePyre
OSX.Pirrit
OSX/Pirrit
OSX/Shlayer
Odinaff
Oficla
Okiru
Oldrea
Olympic Destroyer
Ordinypt
Ozone RAT
OzoneRAT
P.A.S. webshell
PAExec
PASSFREELY
PCClient RAT
PIA
PLAINTEE
PLEAD
PLEAD Downloader
PNG Dropper
PNGDropper
PNG_Dropper
POISONPLUG
POORAIM
PRILEX
PWOBot
PWOHTTPD
PWOKeyLogger
PWOLauncher
PWOMiner
PWOPyExec
PWOQuery
PYLOT
Palevo
Pass
Pass-The-Hash Toolkit
Pegasus
Pegasus spyware
Phindolp
Ping
PinkSlipBot
Pirpi
Plat1
Plexor
PlugX
Poison Ivy
Pony
PoshC2
PowerGhost
PowerRatankba
PowerSploit
PowerSpritz
Prax
Preshin
Prikormka
Private Internet Access
ProcDump
Proton
Proxysvc
PsExec
Pupy
PupyRAT
PureMasuta
Pwnet
QUASARRAT
Qakbot
Qbot
Quant Loader
QuasarRAT
RARSTONE
RCS Galileo
RDAT
RDPWrap
REDLEAVES
RICECURRY
RIPTIDE
ROVNIX
RPCOUTCH
RUHAPPY
Ratankba
RawDisk
RbDoor
Reaver
Reductor
Reg
Regin
Rekaf
Remcos
Responder
RibDoor
Roaming Mantis
Rotexy
Rotinom
Rovnix
RoyalCli
RoyalDNS
Rubella Macro Builder
Ruckguv
Ruler
SB/Malware
SCAR
SDelete
SEASALT
SHARPKNOT
SHUTTERSPEED
SLOWDRIFT
SLUB Backdoor
SMBTOUCH
SMSThief
SNUGRIDE
SOUNDWAVE
SOURFACE
SPIVY
SPLM
SSHDoor
STARSYPOUND
SUNSPOT
SUQ
SURTR
SWORD
Sakula
Sakurel
Sasfis
Sathurbot
Satori
Scieron
Scranos
Seaduke
Sedkit
Sednit
Sedreco
Seduploader
Sekur
Sensode
ShadowHammer
ShadowPad
Shamoon
Shifu
ShimRAT
ShimRatReporter
Shipup
Shiz
Silence
SillyGoose
Sirefef
SkeletonKey
Skyipot
SlemBunk
Slempo
Smoke Loader
SmokeLoader
Snake
Snifula
Sockrat
Sofacy
SpY-Agent
Specfix
SpicyOmelette
Spindest
SpyDealer
StalinLocker
StalinScreamer
StealthWorker
StrangeLove
StreamEx
StrongPity2
Stuxnet
SunOrcal
Svpeng
Swisyn
Systeminfo
T5000
T9000
TABMSGSQL
TARSIP-ECLIPSE
TARSIP-MOON
TR/Agent.84480.85
TRISIS
TRITON
TROJAN LETSGO
TROJAN.COOKIES
TROJAN.FOXY
TROJAN.GTALK
TROJ_DLLSERV.BE
TROJ_KAZY.SM1
TSCookie
TVRAT
TVSPY
TYPEFRAME
TadjMakhal
Tafacalou
Taidoor
Tartine
Tasklist
Taurus
Tavdig
Tdrop
Tdrop2
Terra Loader
Tinba
TinyBanker
TinyTyphon
TinyZBot
TokenControl
Tor
Tordal
Torn RAT
Tosliph
TravNet
Travle
Trick Bot
TrickBot
TrickLoader
TripleFantasy
Trj/CI.A
Trochilus
Trojan.APT.Zumkong
Trojan.Generic.8627031
Trojan.Heur.JP.juW@ayZZvMb
Trojan.Inject1.6386
Trojan.Laziok
Trojan.Naid
Trojan.Seaduke
Trojan.Spuler
Trojan.Win32.Staser.ytq
Trojan.Zbot
Trojan:Win32/Sisproc
Troy
Turla
TwoFace
UACMe
UPPERCUT
USBStealer
Umbreon
Unrecom
Upatre
Uroburos
Urouros
Ursnif
UselessDisk
VB Flash
VBEtaly
VPNFilter
Vatet
Vawtrak
Volgmer
W32/Seeav
WARP
WCE
WEBC2
WEBC2-ADSPACE
WEBC2-AUSOV
WEBC2-BOLID
WEBC2-CLOVER
WEBC2-CSON
WEBC2-DIV
WEBC2-GREENCAT
WEBC2-HEAD
WEBC2-KT3
WEBC2-QBP
WEBC2-RAVE
WEBC2-TABLE
WEBC2-TOCK
WEBC2-UGX
WEBC2-Y21K
WEBC2-YAHOO
WINERACK
WarriorPride
WellMail
WellMess
Win32/Fadok
Win32/FakePPT_i
Win32/Sirefef
Win32/StrongPity2
Win32/Zegost.BW
Win32:Malware-gen
WinIDS
WinSpy
Windows Credential Editor
Winexe
Winnti
Wipbot
Wmiexec
Wmonder
WorldCupSec
X-Agent
X-Tunnel
XAgent
XSControl
XTunnel
Xbash
Yahoyah
Yayih
ZUMKONG
ZXShell
Zbot
ZeGhost
Zebrocy
Zekapab
ZeroCleare
ZeroT
Zeus
Zurten
Zusy
adzok
albertino
arcom
arp.exe
at
at.exe
blacknix
bluebanana
bozok
certutil
certutil.exe
clientmesh
cmd
cmd.exe
csvde.exe
cybergate
da Vinci RCS
darkcomet
darkddoser
darkrat
dsquery
dsquery.exe
esentutl
feodo
ftp.exe
gh0st
greame
gsecdump
hawkeye
iKitten
iRAT
ifconfig
ipconfig
ipconfig.exe
jRat
javadropper
jspy
kitty Malware
lostdoor
luxnet
meek
metasploit
miniFlame
mswab
nbtstat
nbtstat.exe
net.exe
netsh
netsh.exe
netstat
netstat.exe
njRAT
norton
ozonercp
pandora
ping.exe
poisonivy
predatorpain
punisher
pwdump
qrat
reGeorg
reg.exe
route
route.exe
schtasks
schtasks.exe
scout
shadowtech
smallnet
spwebmember
spygate
sqlmap
systeminfo.exe
tapaoux
teamspy
template
trojan-banker.androidos.svpeng.ae
vantom
virusrat
webhp
wp-vcd
xCmd
xDedic RDP Patch
xDedic SysScan
xena
xrat
xtreme
